Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
,97,,95,75,75,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,89,81,81,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,89,81,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,88,83,81,81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,93,87,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,93,87,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,93,87,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,93,87,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,73,72,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,69,68,61,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,69,68,61,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,94,87,87,83,81,72,72,68,66,66,66,66,62,,,,,,,,,,,,,,,,,,,,
100,99,99,95,91,89,87,86,81,74,72,70,69,68,67,,,,,,,,,,,,,,,,,,,
99,98,97,95,90,83,82,82,82,81,81,80,80,80,,,,,,,,,,,,,,,,,,,,
,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,70,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,62,61,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,95,88,88,86,79,79,74,71,67,67,66,66,,,,,,,,,,,,,,,,,,,,
99,99,94,84,84,81,79,79,73,73,71,69,69,65,,,,,,,,,,,,,,,,,,,,
99,99,94,84,84,81,79,79,73,73,71,69,69,65,,,,,,,,,,,,,,,,,,,,
99,98,95,91,89,86,82,78,76,72,70,69,69,66,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,94,92,88,85,81,79,79,78,76,75,,,,,,,,,,,,,,,,,,,,,
99,97,95,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,95,93,90,84,77,76,74,71,71,70,,,,,,,,,,,,,,,,,,,,,,
99,99,98,93,90,90,88,84,80,77,75,74,,,,,,,,,,,,,,,,,,,,,,
99,98,95,90,89,89,83,83,80,80,78,78,,,,,,,,,,,,,,,,,,,,,,
100,99,98,96,94,89,89,87,85,85,83,,,,,,,,,,,,,,,,,,,,,,,
91,86,80,78,72,66,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,
91,86,80,78,72,66,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,
97,94,94,93,84,84,77,75,74,73,70,68,,,,,,,,,,,,,,,,,,,,,,
98,94,93,89,84,84,78,75,73,73,72,69,,,,,,,,,,,,,,,,,,,,,,
98,92,87,84,77,77,75,66,66,63,63,61,,,,,,,,,,,,,,,,,,,,,,
98,86,84,79,76,73,69,66,66,63,63,61,,,,,,,,,,,,,,,,,,,,,,
96,96,93,91,91,87,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,93,91,91,87,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,96,89,84,84,82,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,96,95,92,92,92,90,90,90,90,86,,,,,,,,,,,,,,,,,,,,,,,
99,95,91,89,89,85,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,
99,95,91,89,89,85,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,94,94,94,90,90,87,87,84,83,,,,,,,,,,,,,,,,,,,,,,,
99,97,92,90,86,86,85,85,83,81,81,,,,,,,,,,,,,,,,,,,,,,,
99,98,93,93,93,90,90,89,85,82,82,,,,,,,,,,,,,,,,,,,,,,,
99,98,95,94,94,91,89,87,87,86,,,,,,,,,,,,,,,,,,,,,,,,
99,98,95,94,94,91,89,87,87,86,,,,,,,,,,,,,,,,,,,,,,,,
99,98,92,92,91,88,84,80,80,78,,,,,,,,,,,,,,,,,,,,,,,,
99,98,92,92,91,88,84,80,80,78,,,,,,,,,,,,,,,,,,,,,,,,
99,98,92,92,91,88,84,80,80,78,,,,,,,,,,,,,,,,,,,,,,,,
99,98,94,92,88,88,86,83,80,76,75,,,,,,,,,,,,,,,,,,,,,,,
96,94,94,92,87,87,80,80,78,78,,,,,,,,,,,,,,,,,,,,,,,,
85,85,70,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,89,88,84,80,77,73,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,92,92,90,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,70,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,97,95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,96,93,91,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,95,95,89,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,84,78,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,80,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,87,82,80,79,72,71,68,,,,,,,,,,,,,,,,,,,,,,,,,,
97,87,82,80,79,72,71,68,63,56,,,,,,,,,,,,,,,,,,,,,,,,
87,87,83,75,73,69,65,63,63,56,,,,,,,,,,,,,,,,,,,,,,,,
87,87,83,75,73,69,65,63,58,54,50,,,,,,,,,,,,,,,,,,,,,,,
95,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,82,79,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,82,79,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,88,88,77,77,77,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,93,84,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,79,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,89,,84,,71,,71,71,66,57,53,,,,,,,,,,,,,,,,,,,,
,99,,89,,84,,71,,71,71,66,57,,,,,,,,,,,,,,,,,,,,,
,,,92,,83,,70,,69,67,67,60,53,53,,,,,,,,,,,,,,,,,,,
,99,,92,,83,,70,,69,67,67,60,53,53,,,,,,,,,,,,,,,,,,,
,99,,94,,88,,75,,72,,,,,,,,,,,,,,,,,,,,,,,,
,99,,89,,80,,73,,72,70,66,55,51,51,,,,,,,,,,,,,,,,,,,
,97,,,,,,,,,72,,62,55,,,,,,,,,,,,,,,,,,,,
,97,,88,,76,,74,70,67,58,53,,,,,,,,,,,,,,,,,,,,,,
,97,,90,,75,,72,72,66,63,61,,,,,,,,,,,,,,,,,,,,,,
,97,,90,,75,,70,65,61,57,51,,,,,,,,,,,,,,,,,,,,,,
97,87,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,87,79,78,73,72,66,64,59,55,,,,,,,,,,,,,,,,,,,,,,,,
87,83,83,77,73,72,66,64,59,55,,,,,,,,,,,,,,,,,,,,,,,,
87,83,83,77,73,72,66,64,60,53,51,,,,,,,,,,,,,,,,,,,,,,,
,95,,70,61,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,82,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,77,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,86,80,71,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,88,86,83,80,77,75,73,73,67,,,,,,,,,,,,,,,,,,,,,,,
97,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,96,96,89,89,82,77,76,76,76,76,73,72,,,,,,,,,,,,,,,,,,,,
96,96,93,92,87,87,78,76,75,75,75,71,68,68,,,,,,,,,,,,,,,,,,,,
97,96,92,92,87,87,84,81,79,76,76,76,72,71,,,,,,,,,,,,,,,,,,,,
96,96,94,94,86,85,82,82,79,78,76,75,68,68,,,,,,,,,,,,,,,,,,,,
94,93,92,89,83,82,76,73,73,73,73,73,70,70,,,,,,,,,,,,,,,,,,,,
86,85,85,84,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,85,85,84,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,85,85,84,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,89,87,86,84,80,73,73,66,,,,,,,,,,,,,,,,,,,,,,,,,
,95,85,84,74,71,71,71,69,69,,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,95,93,91,85,85,85,84,81,81,81,81,79,,,,,,,,,,,,,,,,,,,
99,94,91,84,81,76,74,71,68,68,65,61,61,,,,,,,,,,,,,,,,,,,,,
99,94,91,84,81,76,74,71,68,68,65,61,61,,,,,,,,,,,,,,,,,,,,,
99,94,91,84,81,76,74,71,68,68,65,61,61,,,,,,,,,,,,,,,,,,,,,
99,94,91,84,81,76,74,71,68,68,65,61,61,,,,,,,,,,,,,,,,,,,,,
99,94,85,78,73,71,70,70,68,65,63,60,57,,,,,,,,,,,,,,,,,,,,,
99,94,85,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,94,85,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,94,87,82,78,72,69,68,66,66,66,,,,,,,,,,,,,,,,,,,,,,,
99,93,91,86,84,79,73,72,70,69,66,66,,,,,,,,,,,,,,,,,,,,,,
99,93,91,86,84,79,73,72,70,69,66,66,,,,,,,,,,,,,,,,,,,,,,
70,70,70,67,67,65,60,60,60,60,60,57,,,,,,,,,,,,,,,,,,,,,,
100,98,97,92,90,90,86,86,83,83,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,92,90,90,86,86,83,83,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,95,88,88,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,95,88,88,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,95,88,88,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,91,90,90,87,85,80,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,97,88,87,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,88,81,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,94,88,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,87,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,85,,82,,66,,64,61,58,,,,,,,,,,,,,,,,,,,,,,
,98,,88,,74,,65,,64,64,62,,,,,,,,,,,,,,,,,,,,,,
,98,,88,,76,,70,,68,67,,,,,,,,,,,,,,,,,,,,,,,
,98,,82,,,,,,,71,,56,55,,,,,,,,,,,,,,,,,,,,
,98,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,,74,,65,,64,64,62,,,,,,,,,,,,,,,,,,,,,,,
,,,71,,66,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,71,,71,67,65,65,62,62,60,60,58,,,,,,,,,,,,,,,,,,,,
,93,,83,81,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,76,71,71,71,71,69,69,68,67,64,64,64,64,64,64,64,64,,,,,,,,,,,,,,
93,88,88,85,85,79,76,73,72,70,67,65,61,60,57,,,,,,,,,,,,,,,,,,,
84,82,81,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,82,81,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,90,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,92,90,85,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,91,90,89,83,81,76,76,76,76,76,76,72,,,,,,,,,,,,,,,,,,,,,
69,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,97,90,87,86,85,81,80,78,78,78,,,,,,,,,,,,,,,,,,,,,,,
98,98,93,92,92,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,93,92,92,88,78,73,,,,,,,,,,,,,,,,,,,,,,,,,,
98,94,93,93,92,89,89,83,,,,,,,,,,,,,,,,,,,,,,,,,,
98,94,93,93,92,89,89,83,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,91,86,81,81,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,98,92,92,89,88,81,,,,,,,,,,,,,,,,,,,,,,,,,,
91,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,76,,63,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,76,,63,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,85,,73,,73,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,85,,73,,73,,,,,,,,,,,,,,,,,,,,,,,,,,
81,77,72,69,67,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,96,85,85,83,82,76,74,74,74,68,,,,,,,,,,,,,,,,,,,,,,,
99,96,85,85,83,82,76,74,74,74,68,,,,,,,,,,,,,,,,,,,,,,,
86,78,72,68,63,61,61,60,59,,,,,,,,,,,,,,,,,,,,,,,,,
72,,72,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,70,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,70,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,82,81,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,83,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,83,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,85,83,71,70,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,85,83,71,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,62,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,62,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,96,94,84,82,81,77,77,77,77,75,,,,,,,,,,,,,,,,,,,,,,
99,98,96,94,84,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,89,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,86,82,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,97,92,86,85,84,84,82,82,,,,,,,,,,,,,,,,,,,,,,,,
100,97,97,92,86,85,84,84,82,82,,,,,,,,,,,,,,,,,,,,,,,,
97,97,92,86,85,84,84,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
85,81,78,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,87,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,93,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,65,,67,,58,,59,,,,,,,,,,,,,,,,,,,,,,,,
95,,,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66,,69,,69,,67,66,66,63,60,,,,,,,,,,,,,,,,,,,,
,72,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,82,81,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,84,78,65,64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,89,83,81,80,79,79,77,75,,,,,,,,,,,,,,,,,,,,,,,,
,97,89,83,81,80,79,79,77,75,,,,,,,,,,,,,,,,,,,,,,,,
,97,89,83,81,80,79,79,77,75,,,,,,,,,,,,,,,,,,,,,,,,
,97,89,83,81,80,79,79,77,75,68,67,67,67,,,,,,,,,,,,,,,,,,,,
85,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,83,81,80,79,79,77,75,,,,,,,,,,,,,,,,,,,,,,,,,,
100,81,73,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,81,73,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,77,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,93,86,75,75,74,72,72,70,68,,,,,,,,,,,,,,,,,,,,,,,,
98,93,86,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,89,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,97,97,96,89,85,84,83,83,83,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,97,96,89,85,84,83,83,83,,,,,,,,,,,,,,,,,,,,,,,
100,98,98,96,87,87,82,81,80,80,79,,,,,,,,,,,,,,,,,,,,,,,
100,98,98,96,87,87,82,81,80,80,79,,,,,,,,,,,,,,,,,,,,,,,
100,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,96,92,89,88,88,88,87,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,96,92,89,88,88,88,87,,,,,,,,,,,,,,,,,,,,,,,,
100,97,97,96,89,85,84,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,
98,97,96,92,89,88,88,88,87,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,93,92,89,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,93,92,89,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,89,80,75,74,74,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,89,80,75,74,74,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,89,80,75,74,74,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,89,83,83,81,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,86,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,86,,78,,69,65,,,,,,,,,,,,,,,,,,,,,,,,,
91,87,86,79,75,67,67,63,60,60,58,50,50,,,,,,,,,,,,,,,,,,,,,
98,96,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,63,54,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,92,81,80,75,74,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,95,94,94,92,90,84,80,80,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,88,86,84,83,82,79,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,87,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,87,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,63,61,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,,,,,,76,,73,73,,,,,,,,,,,,,,,,,,,,,,
97,94,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,85,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,80,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,80,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,80,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,82,78,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,79,78,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,79,78,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,79,,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,94,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,91,82,80,75,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,95,94,93,92,90,81,79,75,,,,,,,,,,,,,,,,,,,,,,,,
86,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,88,87,86,84,82,82,80,80,,,,,,,,,,,,,,,,,,,,,,,,
98,95,88,87,86,84,82,82,80,80,,,,,,,,,,,,,,,,,,,,,,,,
84,84,83,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,93,93,93,89,88,87,86,84,,,,,,,,,,,,,,,,,,,,,,,,
100,98,93,93,93,89,88,87,86,84,,,,,,,,,,,,,,,,,,,,,,,,
98,93,93,93,89,88,87,86,84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,71,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,71,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,90,86,82,81,80,75,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,91,89,85,82,77,74,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,93,89,85,82,77,74,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,93,89,88,87,86,84,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,91,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,99,97,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,93,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,97,95,89,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,97,95,89,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,64,64,64,64,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,68,66,66,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,93,90,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
