Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,97,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,97,,83,,80,,78,,73,70,70,,,,,,,,,,,,,,,,,,,,,
97,,97,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,97,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,80,,78,,73,70,70,,,,,,,,,,,,,,,,,,,,,,,,
,94,,94,,93,92,85,83,80,,,,,,,,,,,,,,,,,,,,,,,,
,94,,94,,93,92,85,83,71,,,,,,,,,,,,,,,,,,,,,,,,
,92,,86,,77,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,97,,93,92,90,87,85,,,,,,,,,,,,,,,,,,,,,,,,
,94,,86,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,86,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,87,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,94,88,85,82,80,80,,78,,,,,,,,,,,,,,,,,,,,,,,,
99,99,96,93,92,,90,85,81,80,78,77,77,72,72,70,,,,,,,,,,,,,,,,,,
99,99,96,93,92,,90,85,81,80,78,77,77,72,,,,,,,,,,,,,,,,,,,,
99,99,96,95,,93,92,88,85,83,77,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,88,84,80,77,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,88,84,80,77,67,67,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,88,84,80,77,67,67,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,75,73,70,66,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,85,83,80,78,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,85,83,80,78,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,85,83,80,78,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,85,83,80,78,,,,,,,,,,,,,,,,,,,,,,,
99,99,95,92,,90,88,85,83,80,78,,,,,,,,,,,,,,,,,,,,,,,
96,96,95,94,,93,93,90,88,83,80,77,75,,,,,,,,,,,,,,,,,,,,,
96,96,95,92,,88,84,73,69,65,58,55,51,45,44,,,,,,,,,,,,,,,,,,,
96,96,95,92,,88,70,64,62,60,58,58,58,58,58,,,,,,,,,,,,,,,,,,,
99,99,95,94,,91,84,81,79,77,71,69,67,63,60,,,,,,,,,,,,,,,,,,,
99,99,95,94,,91,84,81,79,77,71,69,67,63,60,,,,,,,,,,,,,,,,,,,
99,99,90,90,,86,85,82,80,78,78,78,76,76,75,,,,,,,,,,,,,,,,,,,
99,99,90,90,,86,85,82,80,78,78,78,76,76,75,,,,,,,,,,,,,,,,,,,
99,99,90,90,,86,85,82,80,78,78,78,76,76,75,,,,,,,,,,,,,,,,,,,
99,99,90,90,,90,84,82,80,78,75,75,74,71,69,,,,,,,,,,,,,,,,,,,
99,99,90,90,,90,84,82,80,78,75,75,74,71,69,,,,,,,,,,,,,,,,,,,
99,99,90,90,,90,84,82,80,78,75,75,,,,,,,,,,,,,,,,,,,,,,
